YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,PGTM,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WV01,WV03,WV20
1967,7,10,0.0,0.0,,,,,,,,1700.0,0.0,,,,0.0,0.0,,,69.98,53.06,,,,,315.0,315.0,,,,,123.0,116.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,11,0.0,0.0,,,,,,,,1818.0,0.0,,,,0.0,0.0,,,84.91999999999999,53.96,,,,,315.0,293.0,,,,,134.0,130.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,12,20.0,10.0,,,,,,,,1500.0,0.0,,,,0.0,0.0,,,69.98,53.96,,,,,293.0,293.0,,,,,144.0,134.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,13,0.0,10.0,,,,,,,,1330.0,0.0,,,,0.0,0.0,,,73.94,53.96,,,,,315.0,315.0,,,,,129.0,116.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,14,10.0,20.0,,,,,,,,1606.0,0.0,,,,0.0,0.0,,,68.0,53.06,,,,,315.0,315.0,,,,,144.0,125.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,15,20.0,30.0,,,,,,,,1418.0,0.0,,,,0.0,0.0,,,68.0,53.96,,,,,315.0,315.0,,,,,139.0,125.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,16,10.0,0.0,,,,,,,,1754.0,0.0,,,,0.0,0.0,,,73.94,51.98,,,,,338.0,338.0,,,,,87.0,80.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,17,20.0,10.0,,,,,,,,1454.0,0.0,,,,0.0,0.0,,,75.02,53.96,,,,,315.0,315.0,,,,,129.0,112.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,18,0.0,0.0,,,,,,,,1612.0,0.0,,,,0.0,0.0,,,69.98,51.98,,,,,293.0,293.0,,,,,129.0,107.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,19,0.0,0.0,,,,,,,,2012.0,0.0,,,,0.0,0.0,,,69.08,51.98,,,,,293.0,293.0,,,,,154.0,139.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
